submit_time,task,user,score,status
2017-05-06 23:10:00+0900,C - Closed Rooms,kuuso,0,WA
2017-05-06 23:09:59+0900,D - Black and White Tree,ixmel_rd,900,AC
2017-05-06 23:09:59+0900,D - Black and White Tree,dohatsutsu,0,WA
2017-05-06 23:09:58+0900,D - Black and White Tree,dragoon,0,WA
2017-05-06 23:09:58+0900,C - Closed Rooms,Thistle,0,WA
2017-05-06 23:09:58+0900,D - Black and White Tree,physics0523,0,WA
2017-05-06 23:09:58+0900,E - Blue and Red Tree,zemen,0,WA
2017-05-06 23:09:58+0900,E - Blue and Red Tree,zscoder,0,TLE
2017-05-06 23:09:58+0900,D - Black and White Tree,kakajapan31,0,WA
2017-05-06 23:09:58+0900,E - Blue and Red Tree,rickytheta,0,TLE
2017-05-06 23:09:57+0900,C - Closed Rooms,Thistle,0,WA
2017-05-06 23:09:57+0900,D - Black and White Tree,kzyKT,0,WA
2017-05-06 23:09:55+0900,E - Blue and Red Tree,Fcdkbear,0,WA
2017-05-06 23:09:55+0900,D - Black and White Tree,paruki,0,WA
2017-05-06 23:09:55+0900,D - Black and White Tree,Kuske,0,WA
2017-05-06 23:09:54+0900,D - Black and White Tree,mehrbod,0,WA
2017-05-06 23:09:53+0900,D - Black and White Tree,funcsr,0,WA
2017-05-06 23:09:53+0900,E - Blue and Red Tree,mislav,0,WA
2017-05-06 23:09:52+0900,C - Closed Rooms,daizu39,0,WA
2017-05-06 23:09:51+0900,D - Black and White Tree,conf,0,WA
2017-05-06 23:09:51+0900,D - Black and White Tree,kakajapan31,0,WA
2017-05-06 23:09:50+0900,D - Black and White Tree,okaduki,0,WA
2017-05-06 23:09:50+0900,D - Black and White Tree,ykmaku,0,WA
2017-05-06 23:09:48+0900,E - Blue and Red Tree,Laakeri,0,TLE
2017-05-06 23:09:46+0900,E - Blue and Red Tree,fizzydavid,0,WA
2017-05-06 23:09:46+0900,B - Unplanned Queries,NikitaMikhaylov,0,WA
2017-05-06 23:09:46+0900,C - Closed Rooms,ikeha,0,WA
2017-05-06 23:09:46+0900,D - Black and White Tree,bill_kondo,0,WA
2017-05-06 23:09:45+0900,D - Black and White Tree,kakajapan31,0,WA
2017-05-06 23:09:45+0900,D - Black and White Tree,SWUN_JY,0,WA
2017-05-06 23:09:44+0900,C - Closed Rooms,yfzcsc,0,RE
2017-05-06 23:09:44+0900,D - Black and White Tree,mehrbod,0,WA
2017-05-06 23:09:44+0900,C - Closed Rooms,Gealo,700,AC
2017-05-06 23:09:43+0900,D - Black and White Tree,Hasan0540,0,WA
2017-05-06 23:09:43+0900,B - Unplanned Queries,galloska,0,WA
2017-05-06 23:09:42+0900,D - Black and White Tree,abc050,0,WA
2017-05-06 23:09:42+0900,E - Blue and Red Tree,zemen,0,WA
