id,score
agc003A,200
agc003B,400
agc003C,600
agc003D,1100
agc003E,1400
agc003F,1700
agc006A,200
agc006B,400
agc006C,800
agc006D,1300
agc006E,1500
agc006F,1700
agc009A,300
agc009B,800
agc009C,1100
agc009D,1400
agc009E,1600
agc010A,300
agc010B,500
agc010C,700
agc010D,1000
agc010E,1600
agc010F,1600
agc013A,300
agc013B,500
agc013C,700
agc013D,900
agc013E,1600
agc013F,2000
agc014A,300
agc014B,500
agc014C,700
agc014D,900
agc014E,1400
agc014F,2400
agc015A,200
agc015B,400
agc015C,700
agc015D,900
agc015E,1200
agc015F,1700
agc016A,300
agc016B,700
agc016C,700
agc016D,1000
agc016E,1400
agc016F,1600
agc018A,300
agc018B,700
agc018C,800
agc018D,1100
agc018E,1600
agc018F,1700
agc023A,200
agc023B,500
agc023C,800
agc023D,1200
agc023E,1700
agc023F,1700
agc026A,200
agc026B,600
agc026C,600
agc026D,1100
agc026E,1600
agc026F,2000
agc032A,400
agc032B,700
agc032C,800
agc032D,1000
agc032E,1200
agc032F,1800
agc036A,400
agc036B,700
agc036C,900
agc036D,1200
agc036E,1500
agc036F,1800
agc037A,300
agc037B,800
agc037C,800
agc037D,1100
agc037E,1300
agc037F,1800
agc040A,300
agc040B,600
agc040C,800
agc040D,1100
agc040E,1400
agc040F,2200
agc044A,400
agc044B,700
agc044C,1000
agc044D,1100
agc044E,1300
agc044F,2400
agc045A,400
agc045B,800
agc045C,800
agc045D,1200
agc045E,1200
agc045F,1800
agc046A,200
agc046B,600
agc046C,800
agc046D,1100
agc046E,1500
agc046F,2000
