id,score,ac_rate,1a_rate,avg_ac_time,avg_score,score_rate,total_submit,ac_Nums,1a_Nums,ac_time,total_score,user_Nums
agc003A,200,64.57925636007828,73.93939393939394,155.8090909090909,192.7007299270073,96.35036496350365,1022.0,660.0,488.0,102834.0,1320.0,685.0
agc003B,400,30.83700440528635,44.28571428571429,619.4265306122447,309.1482649842271,77.28706624605678,1589.0,490.0,217.0,303519.0,1960.0,634.0
agc003C,600,43.45307068366164,74.66666666666667,289.1786666666667,468.75,78.125,863.0,375.0,280.0,108442.0,2250.0,480.0
agc003D,1100,15.538847117794486,29.032258064516128,1006.3064516129033,445.7516339869282,40.52287581699347,399.0,62.0,18.0,62391.0,682.0,153.0
agc003E,1400,23.36448598130841,56.00000000000001,184.92,593.2203389830509,42.3728813559322,107.0,25.0,14.0,4623.0,350.0,59.0
agc003F,1700,55.00000000000001,36.36363636363637,207.3636363636364,1700.0,100.0,20.0,11.0,4.0,2281.0,187.0,11.0
agc006A,200,55.660377358490564,68.41294298921417,256.7981510015408,185.1640513552068,92.58202567760344,1166.0,649.0,444.0,166662.0,1298.0,701.0
agc006B,400,29.440789473684212,36.31284916201117,1030.4385474860337,300.20964360587004,75.05241090146751,1216.0,358.0,130.0,368897.0,1432.0,477.0
agc006C,800,9.384164222873899,46.875,303.3125,195.41984732824426,24.427480916030532,341.0,32.0,15.0,9706.0,256.0,131.0
agc006D,1300,11.946902654867255,70.37037037037038,316.962962962963,261.94029850746267,20.14925373134329,226.0,27.0,19.0,8558.0,351.0,134.0
agc006E,1500,24.731182795698924,56.52173913043478,362.1739130434783,821.4285714285713,54.76190476190475,93.0,23.0,13.0,8330.0,345.0,42.0
agc006F,1700,22.222222222222207,50.0,458.83333333333326,566.6666666666667,33.333333333333336,27.0,6.0,3.0,2753.0,102.0,18.0
agc009A,300,40.01363326516701,56.04770017035775,421.3918228279386,265.6108597285068,88.53695324283562,1467.0,587.0,329.0,247357.0,1761.0,663.0
agc009B,800,35.46910755148742,65.48387096774194,517.4096774193548,546.2555066079295,68.28193832599119,874.0,310.0,203.0,160397.0,2480.0,454.0
agc009C,1100,32.1875,54.36893203883496,397.5242718446602,703.7267080745341,63.975155279503106,320.0,103.0,56.0,40945.0,1133.0,161.0
agc009D,1400,12.698412698412698,56.25,847.0,379.66101694915255,27.118644067796605,126.0,16.0,9.0,13552.0,224.0,59.0
agc009E,1600,66.66666666666666,83.33333333333334,11.833333333333336,1371.4285714285713,85.71428571428571,18.0,12.0,10.0,142.0,192.0,14.0
agc010A,300,73.4862385321101,80.89887640449437,94.90761548064918,294.124847001224,98.04161566707468,1090.0,801.0,648.0,76021.0,2403.0,817.0
agc010B,500,14.30642822619623,41.21621621621622,695.3378378378377,236.0446570972887,47.208931419457734,2069.0,296.0,122.0,205820.0,1480.0,627.0
