id,score,ac_rate,1a_rate,avg_ac_time,avg_score,score_rate,total_submit,ac_Nums,1a_Nums,ac_time,total_score,user_Nums,difficulty_level
agc003A,200,64.57925636,73.93939394,155.8090909,192.7007299,96.35036496,1022,660,488,102834,1320,685,A
agc006A,200,55.66037736,68.41294299,256.798151,185.1640514,92.58202568,1166,649,444,166662,1298,701,A
agc015A,200,51.23216602,65.82278481,151.5139241,181.1926606,90.59633028,1542,790,520,119696,1580,872,A
agc023A,200,27.4670571,58.42217484,457.8539446,127.359131,63.67956551,3415,938,548,429467,1876,1473,A
agc026A,200,75.15151515,86.23655914,95.31612903,194.1544885,97.07724426,2475,1860,1604,177288,3720,1916,A
agc046A,200,45.92989849,72.81067556,287.4532944,166.8754349,83.43771747,5221,2398,1746,689313,4796,2874,A
agc009A,300,40.01363327,56.04770017,421.3918228,265.6108597,88.53695324,1467,587,329,247357,1761,663,A
agc010A,300,73.48623853,80.8988764,94.90761548,294.124847,98.04161567,1090,801,648,76021,2403,817,A
agc013A,300,45.2212957,63.40425532,397.3687943,266.0377358,88.67924528,1559,705,447,280145,2115,795,A
agc014A,300,47.13091922,60.28368794,270.9905437,277.3770492,92.45901639,1795,846,510,229258,2538,915,A
agc016A,300,66.12627986,80.25806452,98.29677419,278.1100478,92.70334928,1172,775,622,76180,2325,836,A
agc018A,300,28.64380359,66.93877551,366.9238095,230.8900524,76.96335079,2566,735,492,269689,2205,955,A
agc037A,300,44.84585742,68.74328679,437.5622986,249.5978552,83.19928508,4152,1862,1280,814741,5586,2238,A
agc040A,300,43.93196887,60.30183727,359.6122047,253.4368071,84.4789357,3469,1524,919,548049,4572,1804,A
agc003B,400,30.83700441,44.28571429,619.4265306,309.148265,77.28706625,1589,490,217,303519,1960,634,A
agc006B,400,29.44078947,36.31284916,1030.438547,300.2096436,75.0524109,1216,358,130,368897,1432,477,A
agc015B,400,69.05187835,77.33160622,152.6062176,380.2955665,95.07389163,1118,772,597,117812,3088,812,A
agc032A,400,45.44770504,78.64238411,247.5190397,299.751861,74.93796526,2658,1208,950,299003,4832,1612,A
agc036A,400,21.83140106,45.99459946,783.9243924,243.7739989,60.94349973,5089,1111,511,870940,4444,1823,A
agc044A,400,26.09472744,67.97945205,296.9554795,174.1983594,43.54958986,2238,584,397,173422,2336,1341,A
agc045A,400,13.81026439,53.15315315,690.8490991,141.5139442,35.37848606,3215,444,236,306737,1776,1255,A
agc010B,500,14.30642823,41.21621622,695.3378378,236.0446571,47.20893142,2069,296,122,205820,1480,627,A
agc013B,500,31.49758454,59.81595092,390.9478528,371.2984055,74.25968109,1035,326,195,127449,1630,439,A
agc014B,500,64.25485961,82.01680672,117.2705882,460.5263158,92.10526316,926,595,488,69776,2975,646,A
agc023B,500,39.87421384,63.40694006,439.1955836,374.7044917,74.94089835,1590,634,402,278450,3170,846,A
agc003C,600,43.45307068,74.66666667,289.1786667,468.75,78.125,863,375,280,108442,2250,480,A
agc026B,600,13.78640777,66.80080483,646.5372233,243.2300163,40.53833605,3605,497,332,321329,2982,1226,A
agc026C,600,73.73913043,88.44339623,95.54481132,538.9830508,89.83050847,575,424,375,40511,2544,472,A
agc040B,600,15.52083333,31.31991051,1328.013423,318.1494662,53.02491103,2880,447,140,593622,2682,843,A
agc046B,600,61.98997853,79.2147806,107.4515012,531.2883436,88.54805726,1397,866,686,93053,5196,978,A
agc010C,700,26.7826087,44.80519481,489.2792208,470.7423581,67.2489083,575,154,69,75349,1078,229,A
agc013C,700,16.41791045,42.72727273,812.0363636,318.1818182,45.45454545,670,110,47,89324,770,242,A
agc014C,700,26.43979058,48.51485149,575.029703,492.1113689,70.30162413,1146,303,147,174234,2121,431,A
agc015C,700,49.84326019,74.8427673,144.0503145,494.6666667,70.66666667,319,159,119,22904,1113,225,A
agc016B,700,33.53893601,59.31034483,427.4850575,558.7155963,79.81651376,1297,435,258,185956,3045,545,A
agc016C,700,25.18181818,32.85198556,733.3935018,471.7761557,67.39659367,1100,277,91,203150,1939,411,A
agc018B,700,42.22631095,60.34858388,343.3442266,572.7272727,81.81818182,1087,459,277,157595,3213,561,A
agc032B,700,67.17325228,77.94117647,109.6809955,631.4285714,90.20408163,1316,884,689,96958,6188,980,A
agc036B,700,23.2412715,48.43049327,705.8430493,389.276808,55.61097257,1919,446,216,314806,3122,802,A
agc044B,700,22.75107092,70.08368201,472.7782427,313.0028064,44.71468662,2101,478,335,225988,3346,1069,A
agc006C,800,9.384164223,46.875,303.3125,195.4198473,24.42748092,341,32,15,9706,256,131,B
agc009B,800,35.46910755,65.48387097,517.4096774,546.2555066,68.28193833,874,310,203,160397,2480,454,B
agc018C,800,19.30147059,59.04761905,525.0380952,333.3333333,41.66666667,544,105,62,55129,840,252,B
agc023C,800,55.45023697,86.32478632,82.53846154,574.2331288,71.7791411,211,117,101,9657,936,163,B
agc032C,800,13.13333333,19.2893401,1206.903553,323.613963,40.45174538,1500,197,38,237760,1576,487,B
agc037B,800,40.55944056,77.15517241,282.7801724,508.4931507,63.56164384,572,232,179,65605,1856,365,B
agc037C,800,19.7656648,34.53608247,794.306701,467.4698795,58.43373494,1963,388,134,308191,3104,664,B
agc040C,800,57.03125,84.93150685,71.82191781,595.9183673,74.48979592,128,73,62,5243,584,98,B
agc045B,800,12.61980831,49.36708861,712.4936709,244.015444,30.5019305,626,79,39,56287,632,259,B
agc045C,800,59.75609756,83.67346939,63.80612245,622.2222222,77.77777778,164,98,82,6253,784,126,B
agc046C,800,56.79758308,69.41489362,119.3882979,677.4774775,84.68468468,662,376,261,44890,3008,444,B
agc013D,900,57.44680851,74.07407407,101.7407407,623.0769231,69.23076923,47,27,20,2747,243,39,B
agc014D,900,16,53.48837209,751.8139535,438.5269122,48.72521246,1075,172,92,129312,1548,353,B
agc015D,900,28.34008097,42.85714286,450.5428571,543.1034483,60.34482759,247,70,30,31538,630,116,B
agc036C,900,52.06349206,73.7804878,134.5792683,644.5414847,71.61572052,315,164,121,22071,1476,229,B
agc010D,1000,23.07692308,42.02898551,497.5507246,565.5737705,56.55737705,299,69,29,34331,690,122,B
agc016D,1000,14.25233645,59.01639344,413.0491803,338.8888889,33.88888889,428,61,36,25196,610,180,B
agc032D,1000,35.46325879,79.27927928,198.6846847,590.4255319,59.04255319,313,111,88,22054,1110,188,B
agc044C,1000,17.16101695,71.60493827,101.3580247,338.9121339,33.89121339,472,81,58,8210,810,239,B
agc003D,1100,15.53884712,29.03225806,1006.306452,445.751634,40.52287582,399,62,18,62391,682,153,B
agc009C,1100,32.1875,54.36893204,397.5242718,703.7267081,63.97515528,320,103,56,40945,1133,161,B
agc018D,1100,34.87394958,62.65060241,317.5060241,707.751938,64.34108527,238,83,52,26353,913,129,B
agc026D,1100,67.96875,82.75862069,57.87356322,911.4285714,82.85714286,128,87,72,5035,957,105,B
agc037D,1100,18.33648393,75.25773196,352.8762887,437.295082,39.75409836,529,97,73,34229,1067,244,B
agc040D,1100,10.34482759,73.33333333,358.2666667,343.75,31.25,145,15,11,5374,165,48,B
agc044D,1100,10.35294118,40.90909091,538.0681818,387.2,35.2,425,44,18,23675,484,125,B
agc046D,1100,59.84848485,88.60759494,37,835.5769231,75.96153846,132,79,70,2923,869,104,B
agc015E,1200,54.54545455,33.33333333,240.6666667,1028.571429,85.71428571,11,6,2,1444,72,7,C
agc023D,1200,32.96703297,43.33333333,471.5333333,818.1818182,68.18181818,91,30,13,14146,360,44,C
agc032E,1200,24.13793103,66.66666667,166.8571429,536.1702128,44.68085106,87,21,14,3504,252,47,C
agc036D,1200,46.51162791,85,304.5,727.2727273,60.60606061,43,20,17,6090,240,33,C
agc045D,1200,50,69.23076923,77.61538462,780,65,26,13,9,1009,156,20,C
agc045E,1200,0,0,0,0,0,31,0,0,0,0,11,C
agc006D,1300,11.94690265,70.37037037,316.962963,261.9402985,20.14925373,226,27,19,8558,351,134,C
agc037E,1300,32.58064516,65.34653465,321.3366337,965.4411765,74.26470588,310,101,66,32455,1313,136,C
agc044E,1300,10.76923077,64.28571429,230,319.2982456,24.56140351,130,14,9,3220,182,57,C
agc003E,1400,23.36448598,56,184.92,593.220339,42.37288136,107,25,14,4623,350,59,C
agc009D,1400,12.6984127,56.25,847,379.6610169,27.11864407,126,16,9,13552,224,59,C
agc014E,1400,15.57377049,47.36842105,382.2105263,542.8571429,38.7755102,122,19,9,7262,266,49,C
agc016E,1400,48.42105263,65.2173913,298.9347826,975.7575758,69.6969697,95,46,30,13751,644,66,C
agc040E,1400,25.80645161,75,354.75,589.4736842,42.10526316,31,8,6,2838,112,19,C
agc006E,1500,24.7311828,56.52173913,362.173913,821.4285714,54.76190476,93,23,13,8330,345,42,C
agc036E,1500,9.677419355,16.66666667,660,321.4285714,21.42857143,62,6,1,3960,90,28,C
agc046E,1500,7.438016529,33.33333333,1169.888889,293.4782609,19.56521739,121,9,3,10529,135,46,C
agc009E,1600,66.66666667,83.33333333,11.83333333,1371.428571,85.71428571,18,12,10,142,192,14,C
